2000,3
2002,4
2003,3
2004,8
2005,13
2006,14
2007,29
2008,36
2009,80
2010,33
2011,45
2012,36
2013,36
2014,31
2015,33
2016,76
2017,130
2018,185
2019,106
2020,107
2021,134
